CNTSCHID,CNTSTUID,ST267Q01JA,ST267Q02JA,ST267Q03JA,ST267Q04JA,ST267Q05JA,ST267Q06JA,ST267Q07JA,ST267Q08JA,ST034Q01TA,ST034Q02TA,ST034Q03TA,ST034Q04TA,ST034Q05TA,ST034Q06TA,ST038Q03NA,ST038Q04NA,ST038Q05NA,ST038Q06NA,ST038Q07NA,ST038Q08NA,ST038Q09JA,ST038Q10JA,ST038Q11JA,ST265Q01JA,ST265Q02JA,ST265Q03JA,ST265Q04JA
60800099,60800025,Not Applicable,Disagree,Not Applicable,Agree,Not Applicable,Agree,Agree,Disagree,Disagree,Agree,Agree,Not Applicable,Agree,Disagree,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Agree,Agree,Agree,Agree
60800033,60800026,Not Applicable,Strongly agree,Agree,Strongly agree,Agree,Not Applicable,Not Applicable,Strongly disagree,Agree,Not Applicable,Agree,Strongly disagree,Agree,Disagree,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Strongly agree,Agree,Agree,Agree
60800139,60800027,Strongly agree,Agree,Agree,Agree,Not Applicable,Strongly agree,Not Applicable,Not Applicable,Strongly agree,Strongly disagree,Disagree,Agree,Agree,Not Applicable,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Strongly agree,Agree,Strongly agree,Strongly agree
60800088,60800028,Agree,Agree,Strongly agree,Not Applicable,Not Applicable,Not Applicable,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Not Applicable,A few times a year,A few times a year,A few times a year,Never or almost never,Never or almost never,Never or almost never,Never or almost never,A few times a year,Never or almost never,Agree,Agree,Agree,Agree
60800087,60800029,Disagree,Disagree,Not Applicable,Disagree,Disagree,Disagree,Not Applicable,Not Applicable,Agree,Strongly agree,Agree,Disagree,Agree,Not Applicable,Never or almost never,A few times a month,A few times a year,Never or almost never,A few times a year,A few times a year,A few times a year,A few times a year,A few times a year,Agree,Strongly agree,Disagree,Agree
60800069,60800030,Strongly agree,Agree,Strongly disagree,Agree,Agree,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,A few times a year,A few times a month,A few times a year,Never or almost never,Never or almost never,Once a week or more,Once a week or more,Never or almost never,Never or almost never,Strongly agree,Strongly agree,Disagree,Disagree
60800026,60800031,Strongly agree,Agree,Agree,Not Applicable,Strongly agree,Strongly agree,Not Applicable,Not Applicable,Disagree,Agree,Agree,Disagree,Agree,Not Applicable,A few times a month,A few times a year,Never or almost never,Never or almost never,A few times a year,Never or almost never,A few times a year,Never or almost never,Never or almost never,Agree,Agree,Agree,Agree
60800097,60800032,Strongly agree,Not Applicable,Agree,Agree,Not Applicable,Strongly agree,Strongly agree,Not Applicable,Not Applicable,Agree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Never or almost never,A few times a month,Never or almost never,Never or almost never,A few times a year,A few times a year,Never or almost never,Never or almost never,Never or almost never,Strongly agree,Strongly agree,Strongly agree,Disagree
60800064,60800033,Not Applicable,Not Applicable,Strongly agree,Disagree,Not Applicable,Agree,Strongly agree,Disagree,Disagree,Strongly agree,Strongly agree,Disagree,Strongly agree,Not Applicable,A few times a year,A few times a year,Never or almost never,A few times a year,Never or almost never,A few times a year,Never or almost never,A few times a year,Never or almost never,Disagree,Disagree,Disagree,Disagree
60800113,60800034,Not Applicable,Not Applicable,Not Applicable,Disagree,Agree,Agree,Agree,Disagree,Disagree,Not Applicable,Agree,Agree,Agree,Disagree,A few times a year,A few times a year,Never or almost never,Never or almost never,A few times a year,Never or almost never,Never or almost never,A few times a year,Never or almost never,Agree,Agree,Agree,Agree
60800054,60800035,Agree,Not Applicable,Strongly agree,Agree,Not Applicable,Strongly agree,Agree,Not Applicable,Disagree,Strongly agree,Agree,Not Applicable,Strongly agree,Strongly disagree,Never or almost never,Never or almost never,Never or almost never,A few times a year,A few times a year,A few times a year,Never or almost never,Never or almost never,Never or almost never,Agree,Agree,Agree,Agree
60800018,60800036,Strongly agree,Disagree,Not Applicable,Not Applicable,Agree,Not Applicable,Strongly agree,Strongly disagree,Disagree,Agree,Not Applicable,Strongly disagree,Agree,Disagree,A few times a month,Once a week or more,Once a week or more,A few times a month,A few times a month,Once a week or more,Never or almost never,Once a week or more,A few times a year,Agree,Agree,Strongly agree,Agree
60800019,60800037,Strongly agree,Agree,Disagree,Not Applicable,Not Applicable,Strongly agree,Not Applicable,Strongly disagree,Not Applicable,Strongly disagree,Strongly agree,Agree,Agree,Agree,A few times a year,A few times a month,A few times a month,Never or almost never,A few times a month,A few times a month,A few times a year,Never or almost never,Never or almost never,Agree,Agree,Strongly agree,Strongly agree
60800077,60800038,Strongly agree,Strongly agree,Agree,Disagree,Not Applicable,Not Applicable,Not Applicable,Strongly disagree,Strongly disagree,Strongly agree,Agree,Disagree,Agree,Not Applicable,A few times a year,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Strongly agree,Strongly agree,Strongly agree,Agree
60800184,60800039,Strongly agree,Strongly agree,Not Applicable,Not Applicable,Not Applicable,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Not Applicable,Strongly agree,Agree,Disagree,Agree,A few times a year,A few times a year,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Strongly agree,Strongly agree,Strongly agree,Strongly agree
60800022,60800040,Not Applicable,Strongly agree,Not Applicable,Not Applicable,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Not Applicable,Disagree,Disagree,Never or almost never,Never or almost never,Never or almost never,Never or almost never,A few times a year,Never or almost never,A few times a year,Never or almost never,Never or almost never,Strongly agree,Strongly agree,Strongly agree,Strongly agree
60800078,60800041,Strongly agree,Agree,Agree,Not Applicable,Agree,Not Applicable,Not Applicable,Agree,Disagree,Not Applicable,Agree,Disagree,Agree,Disagree,Never or almost never,Once a week or more,Once a week or more,Never or almost never,A few times a year,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Agree,Agree,Agree,Agree
60800108,60800042,Not Applicable,Agree,Agree,Not Applicable,Not Applicable,Agree,Strongly agree,Agree,Strongly disagree,Not Applicable,Strongly agree,Strongly disagree,Agree,Strongly disagree,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Strongly agree,Strongly agree,Strongly agree,Strongly agree
60800001,60800044,Agree,Agree,Not Applicable,Agree,Agree,Not Applicable,Agree,Not Applicable,Not Applicable,Agree,Agree,Agree,Agree,Agree,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Agree,Agree,Agree,Agree
60800150,60800045,Agree,Agree,Agree,Agree,No Response,Not Applicable,Not Applicable,Not Applicable,Disagree,Not Applicable,Disagree,Agree,Disagree,Strongly disagree,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,Agree,Agree,Agree,Agree
60800061,60800046,Strongly agree,Strongly disagree,Strongly agree,Agree,Not Applicable,Not Applicable,Strongly agree,Not Applicable,Strongly disagree,Strongly agree,Strongly agree,Disagree,Agree,Not Applicable,Never or almost never,Once a week or more,Never or almost never,Once a week or more,Once a week or more,Once a week or more,Once a week or more,Once a week or more,Once a week or more,Strongly agree,Agree,Strongly agree,Strongly agree
60800127,60800047,Strongly agree,Strongly agree,Not Applicable,No Response,Not Applicable,Strongly agree,Strongly agree,Not Applicable,Disagree,Strongly agree,Strongly agree,Disagree,Not Applicable,Disagree,Never or almost never,Once a week or more,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Agree,Agree,Agree,Agree
60800160,60800048,Not Applicable,Disagree,Not Applicable,Agree,Agree,Strongly agree,Strongly disagree,Not Applicable,Agree,Not Applicable,Disagree,Agree,Strongly agree,Strongly disagree,A few times a month,Never or almost never,A few times a year,Once a week or more,A few times a month,A few times a year,No Response,Never or almost never,A few times a month,Agree,Disagree,Strongly agree,Strongly Disagree
60800047,60800049,Strongly agree,Not Applicable,Strongly agree,Not Applicable,Strongly agree,Not Applicable,Strongly agree,Strongly disagree,Disagree,Not Applicable,Agree,Agree,Agree,Disagree,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,A few times a month,Never or almost never,Agree,Agree,Agree,Agree
60800008,60800050,Strongly disagree,Strongly disagree,Not Applicable,Not Applicable,Not Applicable,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Not Applicable,Agree,Agree,Strongly agree,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Strongly agree,Strongly agree,Strongly agree,Strongly agree
60800054,60800051,Strongly agree,Strongly agree,Agree,Not Applicable,Agree,Not Applicable,Agree,Not Applicable,Disagree,Not Applicable,Disagree,Disagree,Disagree,Disagree,Once a week or more,Once a week or more,A few times a month,Never or almost never,Once a week or more,Once a week or more,Never or almost never,A few times a month,A few times a month,Agree,Agree,Agree,Agree
60800184,60800052,Not Applicable,Not Applicable,Not Applicable,Agree,Strongly agree,Agree,Agree,Agree,Not Applicable,Strongly agree,Agree,Disagree,Agree,Disagree,A few times a year,A few times a year,Never or almost never,Never or almost never,A few times a year,A few times a year,A few times a year,Never or almost never,A few times a year,Strongly agree,Strongly agree,Agree,Agree
60800056,60800053,Not Applicable,Disagree,Strongly disagree,Strongly disagree,Disagree,Agree,Not Applicable,Not Applicable,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Not Applicable,Strongly agree,A few times a year,Never or almost never,Never or almost never,Never or almost never,A few times a year,Never or almost never,A few times a year,A few times a month,A few times a year,Strongly agree,Strongly agree,Strongly agree,Strongly agree
60800180,60800054,Not Applicable,Strongly disagree,Agree,Disagree,Not Applicable,Not Applicable,Strongly agree,Agree,Agree,Agree,No Response,Strongly agree,Strongly agree,Not Applicable,Never or almost never,Once a week or more,Never or almost never,A few times a year,A few times a month,Once a week or more,Never or almost never,A few times a year,A few times a month,Agree,Agree,Strongly agree,Strongly agree
60800052,60800055,Not Applicable,Agree,Not Applicable,Not Applicable,Agree,Agree,Agree,Agree,Agree,Not Applicable,Agree,Disagree,Disagree,Agree,A few times a year,A few times a month,A few times a year,A few times a year,A few times a year,Never or almost never,Never or almost never,Never or almost never,A few times a year,Agree,Agree,Agree,Disagree
60800031,60800056,Agree,Agree,Not Applicable,Agree,Not Applicable,Not Applicable,Agree,Agree,Disagree,Strongly agree,Not Applicable,Disagree,Agree,Disagree,Never or almost never,A few times a year,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Agree,Agree,Agree,Agree
60800062,60800057,Agree,Disagree,Agree,Agree,Strongly agree,Not Applicable,Not Applicable,Not Applicable,Disagree,Strongly agree,Not Applicable,Agree,Agree,Disagree,A few times a year,A few times a year,A few times a year,A few times a month,Once a week or more,Once a week or more,Never or almost never,A few times a year,Never or almost never,Agree,Agree,Agree,Agree
60800068,60800058,Not Applicable,Agree,Agree,Disagree,Agree,Not Applicable,Agree,Not Applicable,Not Applicable,Disagree,Agree,Disagree,Agree,Disagree,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Agree,Agree,Agree,Agree
60800167,60800059,Agree,Agree,Agree,Not Applicable,Not Applicable,Disagree,Not Applicable,Agree,Agree,Agree,Not Applicable,Agree,Disagree,Strongly agree,A few times a year,A few times a year,A few times a year,A few times a year,A few times a year,A few times a year,A few times a year,A few times a year,A few times a year,Agree,Disagree,Agree,Agree
60800142,60800060,Agree,Agree,Not Applicable,Not Applicable,Agree,Agree,Not Applicable,Agree,Disagree,Agree,Not Applicable,Agree,Agree,Disagree,Never or almost never,Once a week or more,Once a week or more,A few times a year,A few times a year,A few times a month,Never or almost never,A few times a month,Never or almost never,Agree,Agree,Agree,Agree
60800052,60800061,Strongly agree,Not Applicable,Agree,Not Applicable,Agree,Not Applicable,Strongly agree,Strongly disagree,Disagree,Not Applicable,Agree,Agree,Agree,Disagree,A few times a year,A few times a year,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Agree,Agree,Agree,Agree
60800154,60800062,Not Applicable,Agree,Not Applicable,Strongly disagree,Agree,Strongly agree,Strongly agree,Not Applicable,Strongly disagree,Strongly agree,Strongly disagree,Disagree,Not Applicable,Strongly disagree,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Agree,Strongly agree,Strongly agree,Agree
60800170,60800063,Strongly disagree,Strongly disagree,Not Applicable,Strongly disagree,Not Applicable,Strongly disagree,Not Applicable,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Not Applicable,Strongly agree,A few times a year,Once a week or more,A few times a month,Once a week or more,A few times a year,A few times a month,A few times a month,A few times a year,A few times a month,Strongly agree,Strongly agree,Strongly agree,Strongly agree
60800109,60800064,Agree,Not Applicable,Agree,Not Applicable,Not Applicable,Disagree,Agree,Agree,Agree,Agree,Disagree,Not Applicable,Agree,Agree,Never or almost never,A few times a year,Never or almost never,A few times a month,Never or almost never,A few times a year,Never or almost never,A few times a year,A few times a month,Agree,Disagree,Agree,Disagree
60800119,60800065,Not Applicable,Strongly agree,Not Applicable,Agree,Not Applicable,Strongly agree,Strongly agree,Agree,Not Applicable,Agree,Agree,Agree,Agree,Disagree,Never or almost never,A few times a year,Once a week or more,Never or almost never,Never or almost never,Never or almost never,A few times a year,A few times a year,Never or almost never,Agree,Agree,Agree,Agree
60800015,60800066,Strongly agree,Disagree,Strongly agree,Not Applicable,Strongly agree,Strongly agree,Not Applicable,Not Applicable,Not Applicable,Agree,Strongly disagree,Strongly agree,Agree,Strongly disagree,Never or almost never,A few times a year,A few times a month,Once a week or more,A few times a month,A few times a year,Never or almost never,A few times a year,A few times a month,Strongly Disagree,Strongly Disagree,Disagree,Agree
60800049,60800067,Strongly agree,Not Applicable,Agree,Strongly disagree,Strongly agree,Not Applicable,Not Applicable,Strongly disagree,Strongly disagree,Not Applicable,Strongly agree,Strongly disagree,Agree,Disagree,Never or almost never,Never or almost never,Never or almost never,Never or almost never,A few times a year,A few times a year,Never or almost never,Never or almost never,Never or almost never,Strongly agree,Strongly agree,Strongly agree,Strongly agree
60800040,60800068,Agree,Agree,Not Applicable,Agree,Not Applicable,Agree,Disagree,Not Applicable,Strongly disagree,Agree,Strongly agree,Disagree,Agree,Not Applicable,A few times a year,Once a week or more,A few times a month,A few times a year,A few times a year,Never or almost never,A few times a year,Never or almost never,A few times a year,Agree,Agree,Agree,Disagree
60800170,60800069,Not Applicable,Strongly disagree,Agree,Strongly disagree,Agree,Strongly agree,Not Applicable,Not Applicable,Strongly disagree,Agree,Not Applicable,Disagree,Agree,Strongly disagree,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Agree,Agree,Agree,Agree
60800002,60800070,Agree,Agree,Not Applicable,Not Applicable,Not Applicable,Strongly agree,Strongly agree,Disagree,Strongly agree,Agree,Agree,Agree,Agree,Not Applicable,A few times a year,A few times a year,A few times a month,Never or almost never,A few times a month,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Agree,Agree,Disagree,Disagree
60800062,60800072,Not Applicable,Strongly disagree,Not Applicable,Not Applicable,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Not Applicable,Strongly disagree,Disagree,Never or almost never,A few times a year,Never or almost never,Never or almost never,Never or almost never,A few times a year,Never or almost never,A few times a year,Never or almost never,Disagree,Disagree,Strongly agree,Strongly agree
60800171,60800073,Agree,Agree,Not Applicable,Not Applicable,Strongly disagree,Not Applicable,Strongly agree,Disagree,Strongly disagree,Strongly agree,Not Applicable,Disagree,Strongly agree,Strongly disagree,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,A few times a year,Never or almost never,Never or almost never,Strongly agree,Strongly agree,Strongly agree,Strongly agree
60800079,60800074,Not Applicable,Not Applicable,Not Applicable,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Not Applicable,Disagree,A few times a month,A few times a year,A few times a year,A few times a month,A few times a month,A few times a year,A few times a month,A few times a year,A few times a month,Agree,Agree,Agree,Disagree
60800087,60800075,Not Applicable,Not Applicable,Disagree,Not Applicable,Strongly agree,Agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Not Applicable,Disagree,Agree,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Agree,Strongly agree,Agree,Disagree
60800001,60800076,Agree,Agree,Not Applicable,Not Applicable,Not Applicable,Agree,Agree,Agree,Agree,Agree,Agree,Not Applicable,Agree,Agree,A few times a year,A few times a year,A few times a year,A few times a year,A few times a year,A few times a year,A few times a year,A few times a year,A few times a year,Agree,Agree,Agree,Agree
60800006,60800077,Agree,Agree,Not Applicable,Not Applicable,Agree,Agree,Not Applicable,Disagree,Disagree,Agree,Not Applicable,Disagree,Agree,Strongly disagree,A few times a year,Once a week or more,Once a week or more,A few times a year,Never or almost never,A few times a month,Never or almost never,Never or almost never,A few times a year,Agree,Agree,Agree,Disagree
60800022,60800078,Agree,Agree,Disagree,Agree,Agree,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Strongly agree,Agree,Disagree,Agree,Strongly agree,A few times a year,A few times a month,A few times a year,A few times a year,Never or almost never,Never or almost never,Never or almost never,Never or almost never,A few times a year,Agree,Agree,Agree,Agree
60800026,60800079,Agree,Agree,Not Applicable,Not Applicable,Agree,Not Applicable,Agree,Disagree,Disagree,Not Applicable,Agree,Agree,Disagree,Agree,Never or almost never,Once a week or more,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Agree,Agree,Agree,Agree
60800155,60800080,Agree,Not Applicable,Agree,Agree,Not Applicable,Not Applicable,Agree,Agree,Not Applicable,Agree,Agree,Disagree,Disagree,Disagree,Never or almost never,A few times a year,A few times a year,A few times a year,A few times a year,A few times a year,Never or almost never,Never or almost never,Never or almost never,Agree,Agree,Agree,Agree
60800046,60800081,Disagree,Not Applicable,Disagree,Disagree,Not Applicable,Disagree,Not Applicable,Disagree,Disagree,Disagree,Disagree,Not Applicable,Disagree,Disagree,Never or almost never,Never or almost never,A few times a year,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Disagree,Disagree,Disagree,Disagree
60800145,60800082,Strongly disagree,Disagree,Not Applicable,Strongly disagree,Disagree,Not Applicable,Not Applicable,Strongly disagree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Not Applicable,Never or almost never,Never or almost never,A few times a year,A few times a month,No Response,Never or almost never,A few times a month,A few times a year,A few times a month,Strongly agree,Strongly agree,Strongly agree,Strongly agree
60800054,60800083,Not Applicable,Not Applicable,Agree,Agree,Not Applicable,Disagree,Strongly agree,Disagree,Strongly disagree,Agree,Agree,Not Applicable,Agree,Strongly disagree,Never or almost never,A few times a month,Never or almost never,Once a week or more,Once a week or more,Never or almost never,Once a week or more,Never or almost never,Never or almost never,Strongly agree,Strongly agree,Disagree,Agree
